"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag"
"Si","O",1,2,"SiO2","SiOâ","si",60.06999969482422,28.09000015258789,15.989999771118164,0.30000001192092896,"SiO2",false,0,true,false,"SiO2,RmOn",-1,20,1,"##0.##;##0.00;\-;\*",1
"Al","O",2,3,"Al2O3","AlâOã","al",101.93000030517578,26.979999542236328,15.989999771118164,0.30000001192092896,"Al2O3",false,0,true,false,"Al2O3,R2O3,RmOn",-1,1,1,"##0.##;##0.00;\-;\*",1
"B","O",2,3,"B2O3","BâOã","b",69.58999633789062,10.8100004196167,15.989999771118164,0.800000011920929,"B2O3",false,0,true,false,"B2O3,R2O3,RmOn",-1,3,1,"##0.##;##0.00;\-;\*",1
"Ba","O",1,1,"BaO","BaO","ba",153.32000732421875,137.3300018310547,15.989999771118164,0.5,"BaO",false,0,true,false,"BaO,RO,RmOn",-1,4,1,"##0.##;##0.00;\-;\*",1
"Be","O",1,1,"BeO","BeO","be",25.010000228881836,9.010000228881836,15.989999771118164,0.5,"BeO",false,0,true,false,"BeO,RO,RmOn",-1,5,1,"##0.##;##0.00;\-;\*",1
"Bi","O",2,3,"Bi2O3","BiâOã","bi",465.8900146484375,208.9600067138672,15.989999771118164,0.800000011920929,"Bi2O3",false,0,true,false,"Bi2O3,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Ca","O",1,1,"CaO","CaO","ca",56.06999969482422,40.08000183105469,15.989999771118164,0.5,"CaO",false,0,true,false,"CaO,RO,RmOn",-1,6,1,"##0.##;##0.00;\-;\*",1
"Cd","O",1,1,"CdO","CdO","cd",128.40000915527344,112.41000366210938,15.989999771118164,0.5,"CdO",false,0,true,false,"CdO,RO,RmOn",-1,7,1,"##0.##;##0.00;\-;\*",1
"Ce","O",1,2,"CeO2","CeOâ","ce",172.09999084472656,140.1199951171875,15.989999771118164,0.30000001192092896,"CeO2",false,0,true,false,"CemOn,RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Cs","O",2,1,"Cs2O","CsâO","cs",281.79998779296875,132.91000366210938,15.989999771118164,0.30000001192092896,"Cs2O",false,0,true,false,"Cs2O,R2O,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Ge","O",1,2,"GeO2","GeOâ","ge",104.56999206542969,72.58999633789062,15.989999771118164,0.30000001192092896,"GeO2",false,0,true,false,"GeO2,RmOn",-1,12,1,"##0.##;##0.00;\-;\*",1
"Hf","O",1,2,"HfO2","HfOâ","hf",210.47000122070312,178.49000549316406,15.989999771118164,0.30000001192092896,"HfO2",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"K","O",2,1,"K2O","KâO","k",94.19000244140625,39.099998474121094,15.989999771118164,0.30000001192092896,"K2O",false,0,true,false,"K2O,R2O,RmOn",-1,13,1,"##0.##;##0.00;\-;\*",1
"La","O",2,3,"La2O3","LaâOã","la",325.7799987792969,138.91000366210938,15.989999771118164,0.30000001192092896,"La2O3",false,0,true,false,"LamOn,RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Li","O",2,1,"Li2O","LiâO","li",29.869998931884766,6.940000057220459,15.989999771118164,0.30000001192092896,"Li2O",false,0,true,false,"Li2O,R2O,RmOn",-1,15,1,"##0.##;##0.00;\-;\*",1
"Mg","O",1,1,"MgO","MgO","mg",40.29499816894531,24.309999465942383,15.989999771118164,0.5,"MgO",false,0,true,false,"MgO,RO,RmOn",-1,16,1,"##0.##;##0.00;\-;\*",1
"Na","O",2,1,"Na2O","NaâO","na",61.970001220703125,22.989999771118164,15.989999771118164,0.30000001192092896,"Na2O",false,0,true,false,"Na2O,R2O,RmOn",-1,17,1,"##0.##;##0.00;\-;\*",1
"Nb","O",2,5,"Nb2O5","NbâOå","nb",265.77001953125,92.91000366210938,15.989999771118164,0.30000001192092896,"Nb2O5",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Nd","O",2,3,"Nd2O3","NdâOã","nd",336.45001220703125,144.24000549316406,15.989999771118164,0.30000001192092896,"Nd2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"P","O",2,5,"P2O5","PâOå","p",141.88999938964844,30.969999313354492,15.989999771118164,0.30000001192092896,"P2O5",false,0,true,false,"P2O5,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Pb","O",1,1,"PbO","PbO","pb",223.19000244140625,207.1999969482422,15.989999771118164,0.30000001192092896,"PbO",false,0,true,false,"PbO,RO,RmOn",-1,18,1,"##0.##;##0.00;\-;\*",1
"Rb","O",2,1,"Rb2O","RbâO","rb",186.9300079345703,85.47000122070312,15.989999771118164,0.30000001192092896,"Rb2O",false,0,true,false,"Rb2O,R2O,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Sm","O",2,3,"Sm2O3","SmâOã","sm",348.7699890136719,150.39999389648438,15.989999771118164,0.30000001192092896,"Sm2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Sn","O",1,1,"SnO","SnO","sn",134.6800079345703,118.69000244140625,15.989999771118164,0.5,"SnO",false,0,true,false,"SnmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Sr","O",1,1,"SrO","SrO","sr",103.61000061035156,87.62000274658203,15.989999771118164,0.5,"SrO",false,0,true,false,"SrO,RO,RmOn",-1,21,1,"##0.##;##0.00;\-;\*",1
"Ta","O",2,5,"Ta2O5","TaâOå","ta",441.8500061035156,180.9499969482422,15.989999771118164,0.30000001192092896,"Ta2O5",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Ti","O",1,2,"TiO2","TiOâ","ti",79.8800048828125,47.900001525878906,15.989999771118164,0.30000001192092896,"TiO2",false,0,true,false,"TiO2,RmOn",-1,23,1,"##0.##;##0.00;\-;\*",1
"Tl","O",2,1,"Tl2O","TlâO","tl",424.72998046875,204.3699951171875,15.989999771118164,0.30000001192092896,"Tl2O",false,0,true,false,"TlmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"V","O",2,5,"V2O5","VâOå","v5",181.8300018310547,50.939998626708984,15.989999771118164,0.30000001192092896,"V2O5",false,0,true,false,"VmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Zn","O",1,1,"ZnO","ZnO","zn",81.3699951171875,65.37999725341797,15.989999771118164,0.5,"ZnO",false,0,true,false,"ZnO,RO,RmOn",-1,24,1,"##0.##;##0.00;\-;\*",1
"Ag","O",2,1,"Ag2O","AgâO","ag",231.73001098632812,107.87000274658203,15.989999771118164,0.30000001192092896,"Ag2O",false,0,true,false,"R2O,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
